பொருள் பெயர்,Brand,நிறுவனம்,வகை,எம்.ஆர்.பி,Cost Price,Selling Price,அளவு,Units/Case,Shelf Life (days),இருப்பு,Batch No,உற்பத்தி தேதி,காலாவதி தேதி
Parle-G Glucose Biscuit 200g,Parle,Parle Products,பிஸ்கெட்,10,7.5,9,200g,48,365,250,PG2602A,15/01/2026,15/01/2027
Maggi 2-Minute Noodles 70g,Maggi,Nestle India,நூடில்ஸ்,14,10,12.5,70g,48,365,180,MG2601B,01/02/2026,01/02/2027
Lifebuoy சோப் 100g,Lifebuoy,Hindustan Unilever,சோப்,35,22,30,100g,72,730,320,LB2601C,10/01/2026,10/01/2028
Bru Instant Coffee 50g,Bru,Hindustan Unilever,பானம்,85,55,75,50g,36,365,140,BR2602D,20/02/2026,20/02/2027
Colgate Strong Teeth 100g,Colgate,Colgate-Palmolive,பல் பொருள்,52,32,45,100g,48,730,200,CL2601E,05/01/2026,05/01/2028
Tata Tea Gold 250g,Tata Tea,Tata Consumer,தேநீர்,125,82,110,250g,24,365,160,TT2602F,01/02/2026,01/02/2027
சுன்பீக் Sunflower Oil 1L,Sunpeak,Adani Wilmar,எண்ணெய்,165,120,150,1L,12,365,300,SP2601G,15/01/2026,15/01/2027
Britannia Good Day 75g,Britannia,Britannia Industries,பிஸ்கெட்,30,20,27,75g,60,270,190,BD2602H,01/03/2026,27/11/2026
Surf Excel தூள் 1kg,Surf Excel,Hindustan Unilever,சலவைத்தூள்,135,90,120,1kg,12,730,175,SE2601I,10/01/2026,10/01/2028
Amul Taaza பால் 500ml,Amul,Gujarat Co-op Milk,பால்,27,20,25,500ml,24,180,400,AT2603J,20/03/2026,16/09/2026
Tang Orange 500g,Tang,Mondelez India,பானம்,165,110,150,500g,24,365,5,TG2504K,01/04/2025,01/04/2026
Glow & Lovely Cream 50g,Glow & Lovely,Hindustan Unilever,க்ரீம்,99,60,85,50g,48,730,2,GL2506L,15/06/2025,15/06/2027
Complan Royale Chocolate 500g,Complan,Zydus Wellness,பானம்,270,180,245,500g,12,365,0,CP2504M,01/04/2025,01/04/2026
Medimix ஆயுர்வேத சோப் 75g,Medimix,Cholayil Pvt Ltd,சோப்,42,25,36,75g,72,730,1,MM2507N,01/07/2025,01/07/2027
பூஸ்ட் Boost Jar 500g,Boost,Hindustan Unilever,பானம்,299,195,270,500g,12,365,3,BT2505O,15/05/2025,15/05/2026
Ghadi Detergent Powder 1kg,Ghadi,RSPL Group,சலவைத்தூள்,60,38,52,1kg,12,730,85,GD2601P,01/01/2026,01/01/2028
Vicks VapoRub 25ml,Vicks,P&G Health,மருந்து,99,60,85,25ml,72,730,65,VK2512Q,01/12/2025,01/12/2027
Godrej No.1 சோப் 100g,Godrej,Godrej Consumer,சோப்,22,13,19,100g,72,730,110,GN2601R,15/01/2026,15/01/2028
Clinic Plus Shampoo 175ml,Clinic Plus,Hindustan Unilever,ஞாம்பூ,95,58,82,175ml,24,730,72,CP2602S,01/02/2026,01/02/2028
Ujala வெள்ளை Liquid 75ml,Ujala,Jyothy Labs,வெள்ளை,30,17,25,75ml,48,730,55,UJ2601T,10/01/2026,10/01/2028
Lux சோப் 75g,Lux,Hindustan Unilever,சோப்,30,18,26,75g,72,730,950,LX2601U,01/01/2026,01/01/2028
Kurkure Masala Munch 90g,Kurkure,PepsiCo India,தின்பண்டம்,20,13,18,90g,24,120,800,KU2602V,15/02/2026,15/06/2026
Vim Dishwash Bar 200g,Vim,Hindustan Unilever,பாத்திரம்,15,9,13,200g,48,365,720,VM2601W,01/01/2026,01/01/2027
அரிசி Atta 5kg,Aashirvaad,ITC Limited,மாவு,275,195,255,5kg,6,180,450,AA2603X,01/03/2026,28/08/2026
Dettol கிருமிநாசி 500ml,Dettol,Reckitt Benckiser,கிருமிநாசி,99,62,88,500ml,24,730,600,DT2601Y,10/01/2026,10/01/2028
Pepsodent Germicheck 150g,Pepsodent,Hindustan Unilever,பல் பொருள்,55,33,48,150g,48,730,880,PS2602Z,01/02/2026,01/02/2028
Hamam சோப் 100g,Hamam,Hindustan Unilever,சோப்,35,20,30,100g,72,730,750,HM2601A1,15/01/2026,15/01/2028
Lay's Classic Salted 52g,Lay's,PepsiCo India,தின்பண்டம்,20,13,18,52g,36,90,650,LA2603B1,10/03/2026,08/06/2026
Santoor சந்தன சோப் 100g,Santoor,Wipro Consumer,சோப்,30,17,26,100g,72,730,920,ST2601C1,01/01/2026,01/01/2028
Fortune Sunlite Oil 1L,Fortune,Adani Wilmar,எண்ணெய்,155,112,142,1L,12,365,500,FO2602D1,15/02/2026,15/02/2027
Britannia Milk Bikis 100g,Britannia,Britannia Industries,பிஸ்கெட்,15,9.5,13,100g,60,180,45,BK2509E1,27/09/2025,26/03/2026
Haldiram மிக்ஸ்சர் 200g,Haldiram,Haldiram's,தின்பண்டம்,55,35,48,200g,24,150,30,HD2510F1,28/10/2025,27/03/2026
MTR ரெடி டு ஈட் Upma 180g,MTR,MTR Foods,ரெடி டு ஈட்,45,28,39,180g,36,180,60,MT2510G1,15/10/2025,14/04/2026
Amul Butter 100g,Amul,Gujarat Co-op Milk,பால் பொருள்,56,40,52,100g,24,180,25,AB2510H1,10/10/2025,09/04/2026
இட்லி Idli/Dosa Batter 1kg,iD Fresh,iD Fresh Food,பேட்டர்,65,42,58,1kg,6,15,20,ID2603I1,20/03/2026,04/04/2026
Horlicks Classic Malt 500g,Horlicks,Hindustan Unilever,பானம்,250,170,230,500g,12,365,70,HO2601J1,01/01/2026,01/01/2027
Closeup பல்படி 150g,Closeup,Hindustan Unilever,பல் பொருள்,70,42,62,150g,48,730,95,CU2602K1,01/02/2026,01/02/2028
Sunsilk Thick & Long 180ml,Sunsilk,Hindustan Unilever,ஞாம்பூ,139,88,125,180ml,24,730,55,SS2601L1,15/01/2026,15/01/2028
Dabur Chyawanprash 500g,Dabur,Dabur India,மருந்து,285,190,260,500g,12,730,40,DB2602M1,01/02/2026,01/02/2028
மிளகு Powder Tamarind 200g,MTR,MTR Foods,மளிகை,45,28,39,200g,36,365,85,MT2602N1,01/02/2026,01/02/2027
Rin Detergent Bar 250g,Rin,Hindustan Unilever,சலவைத்தூள்,12,7,10,250g,48,730,130,RN2601O1,10/01/2026,10/01/2028
Nescafe Classic 50g,Nescafe,Nestle India,பானம்,175,115,160,50g,24,365,60,NC2603P1,01/03/2026,01/03/2027
Head & Shoulders Shampoo 180ml,H&S,Procter & Gamble,ஞாம்பூ,275,175,250,180ml,24,730,35,HS2602Q1,15/02/2026,15/02/2028
Everest மளிகைத்தூள் 100g,Everest,Everest Spices,மளிகை,65,40,58,100g,36,365,110,EV2602R1,01/02/2026,01/02/2027
Whisper Choice Wings 8 Pads,Whisper,Procter & Gamble,பராமரிப்பு,42,25,37,8 pads,48,730,90,WH2601S1,01/01/2026,01/01/2028
Parachute தேங்காய் எண்ணெய் 200ml,Parachute,Marico Limited,எண்ணெய்,115,75,105,200ml,24,730,120,PC2601T1,15/01/2026,15/01/2028
Paper Boat ஆம் பன்னா 200ml,Paper Boat,Hector Beverages,பானம்,30,18,27,200ml,24,180,48,PB2602U1,01/02/2026,01/08/2026
Cinthol சோப் 100g,Cinthol,Godrej Consumer,சோப்,35,20,30,100g,72,730,65,CN2601V1,10/01/2026,10/01/2028
Red Label தேநீர் 250g,Red Label,Hindustan Unilever,தேநீர்,110,72,98,250g,24,365,80,RL2602W1,01/02/2026,01/02/2027
Ponds பவுடர் 50g,Pond's,Hindustan Unilever,க்ரீம்,99,62,88,50g,48,730,42,PD2601X1,01/01/2026,01/01/2028